level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	152	155	465	20	-1	
3	1	1	1	0	0	152	155	465	20	-1	
4	1	1	1	1	0	152	155	465	20	-1	
5	1	1	1	1	1	152	155	24	17	96.868607	33
5	1	1	1	1	2	184	155	119	17	96.239311	Camberwell
5	1	1	1	1	3	312	155	32	20	96.310204	Rd,
5	1	1	1	1	4	354	155	95	17	96.953011	Hawthorn
5	1	1	1	1	5	459	155	48	20	96.506546	East,
5	1	1	1	1	6	516	155	42	20	96.723083	VIC,
5	1	1	1	1	7	568	155	49	17	94.730209	3123
2	1	2	0	0	0	151	239	266	28	-1	
3	1	2	1	0	0	151	239	266	28	-1	
4	1	2	1	1	0	151	239	266	28	-1	
5	1	2	1	1	1	151	241	87	26	96.844055	Urgent
5	1	2	1	1	2	247	240	75	27	96.960197	repair
5	1	2	1	1	3	331	239	86	22	96.335388	details
2	1	3	0	0	0	152	292	923	46	-1	
3	1	3	1	0	0	152	292	923	46	-1	
4	1	3	1	1	0	153	292	922	22	-1	
5	1	3	1	1	1	153	293	53	17	96.567009	Have
5	1	3	1	1	2	213	297	39	17	96.844864	you
5	1	3	1	1	3	261	292	65	18	96.560844	raised
5	1	3	1	1	4	334	292	33	17	96.896988	the
5	1	3	1	1	5	376	292	84	21	96.873192	issue(s)
5	1	3	1	1	6	469	292	17	17	96.982841	in
5	1	3	1	1	7	494	292	74	22	96.889313	writing
5	1	3	1	1	8	576	292	44	17	96.880020	with
5	1	3	1	1	9	628	296	50	18	96.731087	your
5	1	3	1	1	10	685	292	68	17	96.031693	Rental
5	1	3	1	1	11	762	292	92	17	96.348267	Provider
5	1	3	1	1	12	861	296	22	13	96.503403	or
5	1	3	1	1	13	891	292	37	17	96.462540	real
5	1	3	1	1	14	937	293	65	16	96.917442	estate
5	1	3	1	1	15	1010	293	65	20	96.897408	agent:
4	1	3	1	2	0	152	321	38	17	-1	
5	1	3	1	2	1	152	321	38	17	96.965614	Yes
2	1	4	0	0	0	153	403	872	50	-1	
3	1	4	1	0	0	153	403	872	50	-1	
4	1	4	1	1	0	153	403	872	22	-1	
5	1	4	1	1	1	153	404	102	21	96.045624	Uploaded
5	1	4	1	1	2	264	404	126	17	96.045624	documents:
5	1	4	1	1	3	634	404	21	17	96.707413	19
5	1	4	1	1	4	664	404	140	17	96.763062	conversations
5	1	4	1	1	5	812	404	58	17	96.169357	saved
5	1	4	1	1	6	879	408	23	13	96.169357	on
5	1	4	1	1	7	911	403	39	18	96.406258	Sun
5	1	4	1	1	8	958	403	35	17	96.737350	Jun
5	1	4	1	1	9	1001	403	24	17	96.675728	22
4	1	4	1	2	0	632	432	89	21	-1	
5	1	4	1	2	1	632	432	89	21	89.768158	2025.pdf
2	1	5	0	0	0	151	515	480	29	-1	
3	1	5	1	0	0	151	515	480	29	-1	
4	1	5	1	1	0	151	515	480	29	-1	
5	1	5	1	1	1	151	516	81	23	96.334381	Select
5	1	5	1	1	2	240	516	41	23	96.334381	the
5	1	5	1	1	3	290	515	102	29	96.475334	issue(s)
5	1	5	1	1	4	402	516	53	22	97.001762	with
5	1	5	1	1	5	464	516	41	22	97.001762	the
5	1	5	1	1	6	515	519	116	25	96.467049	property:
2	1	6	0	0	0	150	590	905	193	-1	
3	1	6	1	0	0	152	590	373	22	-1	
4	1	6	1	1	0	152	590	373	22	-1	
5	1	6	1	1	1	152	591	94	21	96.964981	Flooding
5	1	6	1	1	2	255	595	22	13	96.533936	or
5	1	6	1	1	3	283	590	80	18	96.708244	serious
5	1	6	1	1	4	371	590	54	17	96.588112	flood
5	1	6	1	1	5	434	590	91	22	96.785484	damage:
3	1	6	2	0	0	150	619	905	164	-1	
4	1	6	2	1	0	151	619	846	21	-1	
5	1	6	2	1	1	151	619	61	17	96.188004	Water
5	1	6	2	1	2	219	619	81	21	96.188004	damage
5	1	6	2	1	3	308	619	108	17	96.458931	discovered
5	1	6	2	1	4	425	623	23	13	96.458931	on
5	1	6	2	1	5	459	619	22	17	96.012398	16
5	1	6	2	1	6	488	619	44	21	96.012398	April
5	1	6	2	1	7	541	619	49	17	96.638924	2025
