level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	151	156	345	55	-1	
3	1	1	1	0	0	151	156	345	55	-1	
4	1	1	1	1	0	152	156	344	28	-1	
5	1	1	1	1	1	152	157	58	21	96.126305	Date
5	1	1	1	1	2	219	156	26	22	96.126305	of
5	1	1	1	1	3	252	156	244	28	96.171707	Acknowledgement
4	1	1	1	2	0	151	193	121	18	-1	
5	1	1	1	2	1	151	193	121	18	92.070038	24/06/2025
2	1	2	0	0	0	152	1636	925	47	-1	
3	1	2	1	0	0	152	1636	925	47	-1	
4	1	2	1	1	0	152	1636	895	21	-1	
5	1	2	1	1	1	152	1636	63	17	96.302765	Rental
5	1	2	1	1	2	225	1636	75	21	96.401787	Dispute
5	1	2	1	1	3	309	1636	105	17	96.551094	Resolution
5	1	2	1	1	4	422	1636	75	17	93.008453	Victoria
5	1	2	1	1	5	506	1636	77	21	90.479759	(RDRV)
5	1	2	1	1	6	593	1636	14	17	96.606636	is
5	1	2	1	1	7	615	1640	23	13	96.927391	an
5	1	2	1	1	8	647	1636	114	21	95.892975	appropriate
5	1	2	1	1	9	769	1636	73	21	96.545959	dispute
5	1	2	1	1	10	850	1636	97	17	96.376762	resolution
5	1	2	1	1	11	955	1636	36	17	96.889488	and
5	1	2	1	1	12	1000	1640	47	13	96.697311	case
4	1	2	1	2	0	152	1661	925	22	-1	
5	1	2	1	2	1	152	1663	132	20	95.830551	management
5	1	2	1	2	2	291	1662	71	17	95.830551	service
5	1	2	1	2	3	371	1662	85	21	96.782333	provided
5	1	2	1	2	4	465	1662	22	21	93.287712	by
5	1	2	1	2	5	494	1661	65	18	92.260345	VCAT.
5	1	2	1	2	6	568	1662	27	16	96.785522	An
5	1	2	1	2	7	604	1662	107	21	96.897812	application
5	1	2	1	2	8	719	1663	18	16	93.297180	to
5	1	2	1	2	9	746	1662	63	16	90.844681	RDRV
5	1	2	1	2	10	817	1662	15	17	96.184959	is
5	1	2	1	2	11	839	1666	24	13	95.953682	an
5	1	2	1	2	12	871	1662	108	21	95.953682	application
5	1	2	1	2	13	987	1663	18	16	92.828178	to
5	1	2	1	2	14	1012	1661	65	18	91.961266	VCAT.
