level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	460	20	272	17	-1	
3	1	1	1	0	0	460	20	272	17	-1	
4	1	1	1	1	0	460	20	272	17	-1	
5	1	1	1	1	1	460	20	272	17	95.000000	 
2	1	2	0	0	0	313	62	193	20	-1	
3	1	2	1	0	0	313	62	193	20	-1	
4	1	2	1	1	0	313	62	193	20	-1	
5	1	2	1	1	1	313	62	38	14	96.794281	How
5	1	2	1	1	2	355	63	17	14	96.900192	to
5	1	2	1	1	3	377	64	44	14	96.900192	track
5	1	2	1	1	4	426	68	38	14	96.935226	your
5	1	2	1	1	5	470	66	36	15	96.075409	item
2	1	3	0	0	0	310	110	377	41	-1	
3	1	3	1	0	0	310	110	377	41	-1	
4	1	3	1	1	0	312	110	372	31	-1	
5	1	3	1	1	1	312	110	31	14	96.025208	Use
5	1	3	1	1	2	349	110	27	15	96.025208	the
5	1	3	1	1	3	381	112	70	18	96.149780	tracking
5	1	3	1	1	4	459	114	66	15	96.500099	number
5	1	3	1	1	5	530	119	17	10	95.763763	or
5	1	3	1	1	6	552	117	25	15	93.832787	QR
5	1	3	1	1	7	585	118	41	14	95.863541	code
5	1	3	1	1	8	633	115	51	26	89.957336	Delow.
4	1	3	1	2	0	310	132	377	19	-1	
5	1	3	1	2	1	310	134	31	14	95.758209	You
5	1	3	1	2	2	347	138	29	11	94.172775	can
5	1	3	1	2	3	383	136	54	15	94.172775	either:
5	1	3	1	2	4	685	132	2	2	13.070869	;
2	1	4	0	0	0	308	159	365	93	-1	
3	1	4	1	0	0	310	159	258	43	-1	
4	1	4	1	1	0	310	159	258	19	-1	
5	1	4	1	1	1	310	165	5	2	42.090141	~
5	1	4	1	1	2	322	159	42	13	92.056252	enter
5	1	4	1	1	3	373	159	23	14	92.056252	the
5	1	4	1	1	4	404	160	70	18	96.541733	tracking
5	1	4	1	1	5	481	162	66	15	96.478638	number
5	1	4	1	1	6	552	165	16	13	94.520172	at
4	1	4	1	2	0	318	184	218	18	-1	
5	1	4	1	2	1	318	184	195	18	38.665573	auspost.com.au/track.
5	1	4	1	2	2	519	191	17	11	96.887383	or
3	1	4	2	0	0	308	208	365	44	-1	
4	1	4	2	1	0	308	208	365	25	-1	
5	1	4	2	1	1	308	213	6	2	50.615532	~
5	1	4	2	1	2	320	210	39	11	96.568611	scan
5	1	4	2	1	3	365	208	28	14	96.598145	the
5	1	4	2	1	4	399	209	25	14	96.335381	QR
5	1	4	2	1	5	431	210	42	14	95.034241	code
5	1	4	2	1	6	479	211	46	18	96.630852	using
5	1	4	2	1	7	530	212	28	15	93.306046	the
5	1	4	2	1	8	563	214	72	15	93.126770	AusPost
5	1	4	2	1	9	641	219	32	14	95.566856	app
4	1	4	2	2	0	317	231	286	21	-1	
5	1	4	2	2	1	317	234	16	10	93.764328	or
5	1	4	2	2	2	340	227	33	30	93.764328	your
5	1	4	2	2	3	380	227	78	30	96.696342	favourite
5	1	4	2	2	4	464	235	26	15	96.645950	QR
5	1	4	2	2	5	497	236	41	14	96.645950	code
5	1	4	2	2	6	546	237	57	15	89.507004	reader,
2	1	5	0	0	0	306	278	282	44	-1	
3	1	5	1	0	0	306	278	282	44	-1	
4	1	5	1	1	0	307	278	152	19	-1	
5	1	5	1	1	1	307	278	71	19	96.180588	Tracking
5	1	5	1	1	2	385	280	74	15	89.917244	Number:
4	1	5	1	2	0	306	302	282	20	-1	
5	1	5	1	2	1	306	302	282	20	85.961380	RPP4463800094006051591609
2	1	6	0	0	0	432	395	152	149	-1	
3	1	6	1	0	0	432	395	152	149	-1	
4	1	6	1	1	0	432	395	152	149	-1	
5	1	6	1	1	1	432	395	152	149	95.000000	 
2	1	7	0	0	0	302	625	413	19	-1	
3	1	7	1	0	0	302	625	413	19	-1	
4	1	7	1	1	0	302	625	413	19	-1	
5	1	7	1	1	1	302	625	413	19	95.000000	 
2	1	8	0	0	0	296	646	285	45	-1	
3	1	8	1	0	0	296	646	285	45	-1	
4	1	8	1	1	0	296	646	142	18	-1	
5	1	8	1	1	1	296	646	72	18	96.861229	Tracking
5	1	8	1	1	2	375	648	63	15	52.830715	Number
4	1	8	1	2	0	296	670	285	21	-1	
5	1	8	1	2	1	296	670	285	21	76.449448	RPP4463800094006051593603
2	1	9	0	0	0	422	763	156	149	-1	
3	1	9	1	0	0	422	763	156	149	-1	
4	1	9	1	1	0	422	763	156	149	-1	
5	1	9	1	1	1	422	763	156	149	95.000000	 
2	1	10	0	0	0	285	1013	285	46	-1	
3	1	10	1	0	0	285	1013	285	46	-1	
4	1	10	1	1	0	285	1013	153	19	-1	
5	1	10	1	1	1	285	1013	72	19	96.706177	Tracking
5	1	10	1	1	2	364	1015	74	15	94.664024	Number:
4	1	10	1	2	0	285	1037	285	22	-1	
5	1	10	1	2	1	285	1037	285	22	64.697525	RPP4463800094006051592606
2	1	11	0	0	0	438	996	256	12	-1	
3	1	11	1	0	0	438	996	256	12	-1	
4	1	11	1	1	0	438	996	256	12	-1	
5	1	11	1	1	1	438	996	256	12	95.000000	 
2	1	12	0	0	0	270	1130	424	208	-1	
3	1	12	1	0	0	270	1130	424	208	-1	
4	1	12	1	1	0	270	1130	424	208	-1	
5	1	12	1	1	1	270	1130	424	208	95.000000	 
2	1	13	0	0	0	336	1388	286	133	-1	
3	1	13	1	0	0	336	1388	286	133	-1	
4	1	13	1	1	0	366	1388	229	25	-1	
5	1	13	1	1	1	366	1388	51	19	96.484421	How
5	1	13	1	1	2	422	1395	46	14	96.484421	was
5	1	13	1	1	3	474	1397	53	16	95.444733	your
5	1	13	1	1	4	532	1393	63	19	96.941154	visit?
4	1	13	1	2	0	395	1416	169	25	-1	
5	1	13	1	2	1	395	1416	26	18	15.607895	To
5	1	13	1	2	2	426	1417	40	18	15.607895	tell
5	1	13	1	2	3	473	1424	26	13	96.564514	us
5	1	13	1	2	4	506	1420	58	21	96.484604	goto
4	1	13	1	3	0	336	1444	286	25	-1	
5	1	13	1	3	1	336	1444	286	25	90.733292	auspost.com.au/myvisit
4	1	13	1	4	0	339	1469	277	24	-1	
5	1	13	1	4	1	339	1469	43	18	96.505112	and
5	1	13	1	4	2	390	1471	63	18	96.194496	enter
5	1	13	1	4	3	458	1472	81	20	95.929085	details
5	1	13	1	4	4	546	1474	70	19	96.275452	below
