level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1240	1754	-1	
2	1	1	0	0	0	90	89	1010	113	-1	
3	1	1	1	0	0	91	89	175	16	-1	
4	1	1	1	1	0	91	89	175	16	-1	
5	1	1	1	1	1	91	89	54	15	96.445137	From:
5	1	1	1	1	2	153	89	75	16	95.916504	Johnson
5	1	1	1	1	3	235	89	31	15	95.916504	Tan
3	1	1	2	0	0	90	112	334	20	-1	
4	1	1	2	1	0	90	112	334	20	-1	
5	1	1	2	1	1	90	112	48	16	96.157356	Sent:
5	1	1	2	1	2	147	112	58	20	96.232315	Friday,
5	1	1	2	1	3	213	112	21	15	96.232315	27
5	1	1	2	1	4	241	112	43	16	96.016426	June
5	1	1	2	1	5	290	112	45	15	95.993271	2025
5	1	1	2	1	6	343	112	47	15	96.917725	11:45
5	1	1	2	1	7	403	112	21	15	96.844673	AM
3	1	1	3	0	0	90	135	1010	43	-1	
4	1	1	3	1	0	90	135	1010	20	-1	
5	1	1	3	1	1	90	136	28	15	92.997704	To:
5	1	1	3	1	2	126	135	101	16	91.511124	Chawakorn
5	1	1	3	1	3	235	136	104	15	91.625847	Kamnuansil
5	1	1	3	1	4	346	136	265	19	89.973152	<ck.chawakorn@gmail.com>;
5	1	1	3	1	5	619	135	162	16	90.448181	CSV-VCAT-Cases
5	1	1	3	1	6	788	135	53	20	93.291908	(CSV)
5	1	1	3	1	7	849	136	251	19	81.872009	<Cases@courts.vic.gov.au>
4	1	1	3	2	0	90	159	760	19	-1	
5	1	1	3	2	1	90	159	30	15	95.747345	Cc:
5	1	1	3	2	2	127	159	46	15	95.747345	Areal
5	1	1	3	2	3	181	159	75	19	96.293884	Property
5	1	1	3	2	4	263	159	45	15	93.246117	MPM
5	1	1	3	2	5	316	159	294	19	81.662109	<mpm@email.propertyme.com>;
5	1	1	3	2	6	618	159	232	19	90.816040	bewty980219@gmail.com
3	1	1	4	0	0	90	182	778	20	-1	
4	1	1	4	1	0	90	182	778	20	-1	
5	1	1	4	1	1	90	182	77	20	96.725342	Subject:
5	1	1	4	1	2	176	183	32	15	93.300278	RE:
5	1	1	4	1	3	216	183	56	15	90.289619	RDRV
5	1	1	4	1	4	278	191	6	2	91.962860	-
5	1	1	4	1	5	291	182	46	16	93.159866	Case
5	1	1	4	1	6	344	183	93	15	92.403748	RT252398
5	1	1	4	1	7	443	191	7	2	93.141617	-
5	1	1	4	1	8	456	183	21	15	96.731468	33
5	1	1	4	1	9	485	183	105	15	96.771187	Camberwell
5	1	1	4	1	10	598	183	28	17	96.993805	Rd,
5	1	1	4	1	11	636	183	83	15	96.526840	Hawthorn
5	1	1	4	1	12	728	183	43	17	96.665413	East,
5	1	1	4	1	13	779	183	37	17	96.653549	VIC,
5	1	1	4	1	14	825	183	43	15	96.835030	3123
2	1	2	0	0	0	91	270	232	18	-1	
3	1	2	1	0	0	91	270	232	18	-1	
4	1	2	1	1	0	91	270	232	18	-1	
5	1	2	1	1	1	91	270	17	15	95.865692	Hi
5	1	2	1	1	2	115	270	76	15	92.672386	Matthew
5	1	2	1	1	3	197	270	12	15	92.672386	&
5	1	2	1	1	4	217	270	106	18	90.966797	Chawakorn,
2	1	3	0	0	0	90	358	868	63	-1	
3	1	3	1	0	0	90	358	868	63	-1	
4	1	3	1	1	0	90	358	337	19	-1	
5	1	3	1	1	1	90	358	48	16	96.915932	Good
5	1	3	1	1	2	145	358	72	19	96.946396	morning
5	1	3	1	1	3	224	358	32	15	96.974205	and
5	1	3	1	1	4	264	358	44	19	95.934761	hope
5	1	3	1	1	5	315	361	31	16	96.351685	you
5	1	3	1	1	6	353	361	28	12	96.695435	are
5	1	3	1	1	7	387	358	40	15	96.395195	well.
4	1	3	1	2	0	91	401	867	20	-1	
5	1	3	1	2	1	91	402	3	15	73.752167	|
5	1	3	1	2	2	102	402	42	15	88.284515	have
5	1	3	1	2	3	151	402	75	15	96.715759	received
5	1	3	1	2	4	232	402	29	15	96.679527	the
5	1	3	1	2	5	267	402	43	19	96.788094	reply
5	1	3	1	2	6	316	402	40	15	93.199669	from
5	1	3	1	2	7	364	402	44	15	93.117477	FIXD
5	1	3	1	2	8	414	402	52	15	96.978226	Trade
5	1	3	1	2	9	473	401	55	20	92.985626	Group
5	1	3	1	2	10	534	410	12	2	79.227272	—
5	1	3	1	2	11	552	402	90	15	96.897438	contractor
5	1	3	1	2	12	648	402	87	19	94.554222	appointed
5	1	3	1	2	13	743	402	20	19	94.554222	by
5	1	3	1	2	14	769	402	28	15	96.863243	the
5	1	3	1	2	15	804	401	28	16	96.863243	OC
5	1	3	1	2	16	839	402	24	15	96.824211	for
5	1	3	1	2	17	868	402	28	15	96.035957	the
5	1	3	1	2	18	903	402	55	19	96.035957	repair.
2	1	4	0	0	0	91	445	531	20	-1	
3	1	4	1	0	0	91	445	531	20	-1	
4	1	4	1	1	0	91	445	531	20	-1	
5	1	4	1	1	1	91	445	3	16	92.177147	|
5	1	4	1	1	2	102	445	42	16	94.006149	have
5	1	4	1	1	3	151	445	52	16	96.898506	asked
5	1	4	1	1	4	210	445	24	16	96.898506	for
5	1	4	1	1	5	239	445	28	16	96.954460	the
5	1	4	1	1	6	275	445	59	20	96.013481	project
5	1	4	1	1	7	340	445	74	18	96.013481	timeline,
5	1	4	1	1	8	422	445	32	16	96.598442	and
5	1	4	1	1	9	462	445	52	16	96.598442	below
5	1	4	1	1	10	521	445	13	16	96.591812	is
5	1	4	1	1	11	540	445	28	16	96.990219	the
5	1	4	1	1	12	575	445	47	20	96.668411	reply:
2	1	5	0	0	0	90	533	658	19	-1	
3	1	5	1	0	0	90	533	658	19	-1	
4	1	5	1	1	0	90	533	658	19	-1	
5	1	5	1	1	1	90	533	61	15	96.895752	Please
5	1	5	1	1	2	158	536	31	12	96.964699	see
5	1	5	1	1	3	196	533	54	15	96.929298	below
5	1	5	1	1	4	255	533	62	15	96.486588	extract
5	1	5	1	1	5	322	533	39	15	96.486588	from
5	1	5	1	1	6	368	536	31	12	96.928436	our
5	1	5	1	1	7	403	536	53	16	96.978645	scope
5	1	5	1	1	8	463	533	19	15	96.963120	of
5	1	5	1	1	9	486	533	52	15	95.294350	works
5	1	5	1	1	10	544	533	39	15	95.294350	sent
5	1	5	1	1	11	588	533	16	15	96.597099	to
5	1	5	1	1	12	611	533	73	19	96.788773	Highrise
5	1	5	1	1	13	692	533	56	15	96.788773	Strata.
2	1	6	0	0	0	90	621	1053	160	-1	
3	1	6	1	0	0	90	621	1053	160	-1	
4	1	6	1	1	0	92	621	1051	19	-1	
5	1	6	1	1	1	92	621	32	15	96.549698	The
5	1	6	1	1	2	131	621	55	19	96.549698	drying
5	1	6	1	1	3	191	624	71	16	95.666824	process
5	1	6	1	1	4	268	621	14	15	95.666824	is
5	1	6	1	1	5	289	621	80	15	94.501366	essential
5	1	6	1	1	6	375	621	24	15	95.722160	for
5	1	6	1	1	7	404	621	78	19	95.722160	ensuring
5	1	6	1	1	8	488	621	20	15	95.734726	all
5	1	6	1	1	9	514	621	72	15	94.123756	affected
5	1	6	1	1	10	592	621	69	19	96.941154	building
5	1	6	1	1	11	667	621	82	15	96.633018	materials
5	1	6	1	1	12	756	621	51	15	95.637184	return
5	1	6	1	1	13	814	621	16	15	90.403069	to
5	1	6	1	1	14	836	621	72	19	90.403069	pre-loss
5	1	6	1	1	15	915	621	76	15	96.874428	moisture
5	1	6	1	1	16	998	621	55	15	96.092377	levels.
5	1	6	1	1	17	1061	621	82	18	96.937019	However,
4	1	6	1	2	0	91	644	1026	19	-1	
5	1	6	1	2	1	91	644	26	15	97.001434	the
5	1	6	1	2	2	124	644	54	19	96.821472	length
5	1	6	1	2	3	185	644	19	15	96.177269	of
5	1	6	1	2	4	208	644	55	19	96.957985	drying
5	1	6	1	2	5	269	644	37	15	96.883766	time
5	1	6	1	2	6	313	648	38	15	96.997772	may
5	1	6	1	2	7	357	648	38	15	96.397896	vary
5	1	6	1	2	8	401	644	94	19	96.358047	depending
5	1	6	1	2	9	501	648	21	11	95.861526	on
5	1	6	1	2	10	530	644	72	15	96.975281	external
5	1	6	1	2	11	607	644	61	15	97.011887	factors
5	1	6	1	2	12	674	644	42	15	96.549004	such
5	1	6	1	2	13	723	648	20	11	96.549004	as
5	1	6	1	2	14	751	644	72	15	96.444572	weather
5	1	6	1	2	15	828	644	90	15	95.740677	conditions
5	1	6	1	2	16	925	644	34	15	96.498383	and
5	1	6	1	2	17	964	644	77	15	96.907257	moisture
5	1	6	1	2	18	1048	645	69	14	96.843857	content.
4	1	6	1	3	0	90	668	1051	19	-1	
5	1	6	1	3	1	90	668	46	15	92.323845	FIXD
5	1	6	1	3	2	142	668	14	15	94.338615	is
5	1	6	1	3	3	162	668	29	15	95.775536	not
5	1	6	1	3	4	196	668	103	19	95.498672	responsible
5	1	6	1	3	5	306	668	25	15	96.840996	for
5	1	6	1	3	6	336	668	57	19	96.811890	delays
5	1	6	1	3	7	399	668	15	15	96.406494	in
5	1	6	1	3	8	421	668	55	19	96.798561	drying
5	1	6	1	3	9	482	668	33	15	96.970718	due
5	1	6	1	3	10	522	668	16	15	96.733841	to
5	1	6	1	3	11	545	668	125	15	94.428764	uncontrollable
5	1	6	1	3	12	676	668	64	15	94.928864	factors.
5	1	6	1	3	13	749	668	94	19	96.898682	Monitoring
5	1	6	1	3	14	850	668	27	15	95.398544	will
5	1	6	1	3	15	883	668	21	15	96.159645	be
5	1	6	1	3	16	911	668	94	15	96.680069	conducted
5	1	6	1	3	17	1011	668	49	19	96.096008	daily,
5	1	6	1	3	18	1069	668	33	15	96.096008	and
5	1	6	1	3	19	1108	671	33	16	96.899879	any
4	1	6	1	4	0	90	691	1041	19	-1	
5	1	6	1	4	1	90	694	93	16	93.092300	necessary
5	1	6	1	4	2	188	691	153	19	92.476006	adjustments/cost
5	1	6	1	4	3	347	691	86	15	95.639183	variations
5	1	6	1	4	4	440	691	27	15	96.435272	will
5	1	6	1	4	5	473	691	21	15	96.927956	be
5	1	6	1	4	6	501	691	132	15	96.412758	communicated
5	1	6	1	4	7	638	691	80	19	93.132492	promptly.
5	1	6	1	4	8	727	691	45	15	89.361221	FIXD
5	1	6	1	4	9	779	691	28	15	96.776573	will
5	1	6	1	4	10	813	691	28	15	96.205139	not
5	1	6	1	4	11	846	691	22	15	96.991585	be
5	1	6	1	4	12	875	691	38	15	94.665016	held
5	1	6	1	4	13	919	691	103	19	96.783897	responsible
5	1	6	1	4	14	1028	691	25	15	96.783897	for
5	1	6	1	4	15	1058	694	33	16	93.305313	any
5	1	6	1	4	16	1095	694	36	16	93.150002	pre-
4	1	6	1	5	0	91	715	1024	19	-1	
5	1	6	1	5	1	91	715	68	19	96.896683	existing
5	1	6	1	5	2	165	715	90	15	96.405685	conditions
5	1	6	1	5	3	262	715	98	15	96.979546	discovered
5	1	6	1	5	4	366	715	56	19	96.824203	during
5	1	6	1	5	5	428	715	27	15	97.007812	the
5	1	6	1	5	6	462	718	59	12	96.917618	course
5	1	6	1	5	7	529	715	18	15	96.256966	of
5	1	6	1	5	8	551	715	109	17	96.566856	remediation,
5	1	6	1	5	9	668	715	80	19	96.667053	including
5	1	6	1	5	10	754	715	29	15	96.996468	but
5	1	6	1	5	11	788	715	29	15	91.052155	not
5	1	6	1	5	12	822	715	59	15	96.432129	limited
5	1	6	1	5	13	887	715	15	15	96.726418	to
5	1	6	1	5	14	909	715	84	15	95.314331	structural
5	1	6	1	5	15	999	715	67	17	93.306206	defects,
5	1	6	1	5	16	1075	718	40	12	93.179153	non-
4	1	6	1	6	0	91	738	1027	19	-1	
5	1	6	1	6	1	91	738	86	19	73.818985	compliant
5	1	6	1	6	2	182	738	109	18	94.234459	installations,
5	1	6	1	6	3	300	741	20	12	96.807129	or
5	1	6	1	6	4	323	738	43	19	96.663208	prior
5	1	6	1	6	5	371	738	50	15	96.663208	water
5	1	6	1	6	6	426	738	75	19	96.953224	damage.
5	1	6	1	6	7	509	738	36	19	96.984482	Any
5	1	6	1	6	8	551	738	100	15	95.932068	discoveries
5	1	6	1	6	9	658	738	28	15	96.157097	will
5	1	6	1	6	10	691	738	22	15	96.797012	be
5	1	6	1	6	11	720	738	132	15	96.359802	communicated
5	1	6	1	6	12	858	738	15	15	96.378510	to
5	1	6	1	6	13	880	738	27	15	96.901527	the
5	1	6	1	6	14	913	738	70	18	96.645821	insured,
5	1	6	1	6	15	992	738	34	15	96.877449	and
5	1	6	1	6	16	1032	738	86	15	95.902573	additional
4	1	6	1	7	0	91	762	499	19	-1	
5	1	6	1	7	1	91	762	51	15	96.984612	works
5	1	6	1	7	2	149	765	38	16	96.946930	may
5	1	6	1	7	3	193	762	21	15	96.920685	be
5	1	6	1	7	4	221	762	74	19	96.936813	required
5	1	6	1	7	5	301	762	65	15	96.206505	outside
5	1	6	1	7	6	373	762	26	15	96.994568	the
5	1	6	1	7	7	406	765	53	16	96.921051	scope
5	1	6	1	7	8	466	762	19	15	95.901222	of
5	1	6	1	7	9	489	762	30	15	96.916153	this
5	1	6	1	7	10	526	762	64	19	93.987152	project.
2	1	7	0	0	0	92	805	1003	19	-1	
3	1	7	1	0	0	92	805	1003	19	-1	
4	1	7	1	1	0	92	805	1003	19	-1	
5	1	7	1	1	1	92	805	27	15	96.932472	We
5	1	7	1	1	2	126	805	61	15	96.884613	cannot
5	1	7	1	1	3	191	805	67	19	96.960472	provide
5	1	7	1	1	4	265	809	10	11	95.984985	a
5	1	7	1	1	5	282	805	69	15	95.984985	timeline
5	1	7	1	1	6	358	809	20	11	96.455139	as
5	1	7	1	1	7	384	809	31	15	96.137291	per
5	1	7	1	1	8	419	809	41	15	96.137291	your
