level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1241	1754	-1	
2	1	1	0	0	0	314	52	286	41	-1	
3	1	1	1	0	0	314	52	286	41	-1	
4	1	1	1	1	0	314	52	152	17	-1	
5	1	1	1	1	1	314	52	72	17	96.812263	Tracking
5	1	1	1	1	2	393	53	73	14	96.781845	Number:
4	1	1	1	2	0	314	77	286	16	-1	
5	1	1	1	2	1	314	77	286	16	20.022293	RPP446380009400605158860S
2	1	2	0	0	0	444	162	151	146	-1	
3	1	2	1	0	0	444	162	151	146	-1	
4	1	2	1	1	0	444	162	151	146	-1	
5	1	2	1	1	1	444	162	151	146	95.000000	 
2	1	3	0	0	0	312	395	417	13	-1	
3	1	3	1	0	0	312	395	417	13	-1	
4	1	3	1	1	0	312	395	417	13	-1	
5	1	3	1	1	1	312	395	417	13	95.000000	 
2	1	4	0	0	0	311	417	284	39	-1	
3	1	4	1	0	0	311	417	284	39	-1	
4	1	4	1	1	0	311	417	152	17	-1	
5	1	4	1	1	1	311	417	71	17	96.803192	Tracking
5	1	4	1	1	2	390	417	73	15	96.202827	Number:
4	1	4	1	2	0	311	442	284	14	-1	
5	1	4	1	2	1	311	442	284	14	87.769524	RPP4463800094006051587602
2	1	5	0	0	0	441	527	150	151	-1	
3	1	5	1	0	0	441	527	150	151	-1	
4	1	5	1	1	0	441	527	150	151	-1	
5	1	5	1	1	1	441	527	150	151	95.000000	 
2	1	6	0	0	0	302	764	420	17	-1	
3	1	6	1	0	0	302	764	420	17	-1	
4	1	6	1	1	0	302	764	420	17	-1	
5	1	6	1	1	1	302	764	420	17	95.000000	 
2	1	7	0	0	0	307	786	287	39	-1	
3	1	7	1	0	0	307	786	287	39	-1	
4	1	7	1	1	0	307	786	132	18	-1	
5	1	7	1	1	1	307	786	72	18	96.739227	Tracking
5	1	7	1	1	2	387	787	52	14	76.126404	Numb
4	1	7	1	2	0	308	811	286	14	-1	
5	1	7	1	2	1	308	811	286	14	22.704376	RPP4463800084006051590602
2	1	8	0	0	0	438	900	150	146	-1	
3	1	8	1	0	0	438	900	150	146	-1	
4	1	8	1	1	0	438	900	150	146	-1	
5	1	8	1	1	1	438	900	150	146	95.000000	 
2	1	9	0	0	0	306	1154	287	39	-1	
3	1	9	1	0	0	306	1154	287	39	-1	
4	1	9	1	1	0	306	1154	153	18	-1	
5	1	9	1	1	1	306	1154	72	18	95.706215	Tracking
5	1	9	1	1	2	385	1154	74	14	96.506096	Number:
4	1	9	1	2	0	307	1178	286	15	-1	
5	1	9	1	2	1	307	1178	286	15	84.056602	RPP4463800094006051589606
2	1	10	0	0	0	302	1268	426	204	-1	
3	1	10	1	0	0	302	1268	426	204	-1	
4	1	10	1	1	0	302	1268	426	204	-1	
5	1	10	1	1	1	302	1268	426	204	95.000000	 
2	1	11	0	0	0	369	1528	286	131	-1	
3	1	11	1	0	0	369	1528	286	131	-1	
4	1	11	1	1	0	398	1528	229	23	-1	
5	1	11	1	1	1	398	1530	51	18	96.649666	How
5	1	11	1	1	2	454	1534	46	13	95.438622	was
5	1	11	1	1	3	506	1534	53	17	95.438622	your
5	1	11	1	1	4	564	1528	63	19	96.457352	visit?
4	1	11	1	2	0	427	1555	170	23	-1	
5	1	11	1	2	1	427	1557	27	18	87.475525	To
5	1	11	1	2	2	459	1555	40	19	87.475525	tell
5	1	11	1	2	3	506	1561	26	13	95.815582	us
5	1	11	1	2	4	539	1556	58	22	85.555000	goto
4	1	11	1	3	0	369	1582	286	24	-1	
5	1	11	1	3	1	369	1582	286	24	91.468933	auspost.com.au/myvisit
4	1	11	1	4	0	374	1609	276	20	-1	
5	1	11	1	4	1	374	1610	42	19	96.348381	and
5	1	11	1	4	2	424	1605	58	32	96.633102	enter
5	1	11	1	4	3	492	1605	81	32	95.826508	details
5	1	11	1	4	4	581	1609	69	18	96.548531	below
4	1	11	1	5	0	375	1636	274	23	-1	
5	1	11	1	5	1	375	1638	28	18	96.305527	Or
5	1	11	1	5	2	409	1637	73	22	96.433258	phone
5	1	11	1	5	3	489	1636	56	19	95.873741	1800
5	1	11	1	5	4	552	1636	45	18	96.055435	443
5	1	11	1	5	5	605	1636	44	18	96.450523	930
2	1	12	0	0	0	355	1691	314	49	-1	
3	1	12	1	0	0	355	1691	314	49	-1	
4	1	12	1	1	0	408	1691	208	18	-1	
5	1	12	1	1	1	408	1691	75	18	96.071037	Outlet
5	1	12	1	1	2	490	1691	31	18	94.890320	ID:
5	1	12	1	1	3	528	1691	88	18	96.762581	328567
4	1	12	1	2	0	355	1717	314	23	-1	
5	1	12	1	2	1	355	1717	90	23	96.721657	Receipt
5	1	12	1	2	2	453	1717	102	18	96.066269	Number:
5	1	12	1	2	3	562	1717	107	17	93.863792	0239440
2	1	13	0	0	0	874	140	243	51	-1	
3	1	13	1	0	0	874	140	243	51	-1	
4	1	13	1	1	0	874	140	243	51	-1	
5	1	13	1	1	1	874	140	53	51	43.875065	QO
5	1	13	1	1	2	936	152	116	25	95.781448	Australia
5	1	13	1	1	3	1059	153	58	23	96.431046	Post
2	1	14	0	0	0	846	206	295	103	-1	
3	1	14	1	0	0	846	206	295	103	-1	
4	1	14	1	1	0	850	206	253	15	-1	
5	1	14	1	1	1	850	207	130	14	92.233177	CAMBERWELL
5	1	14	1	1	2	987	206	48	14	96.252174	POST
5	1	14	1	1	3	1041	206	36	13	96.229523	SHOP,
5	1	14	1	1	4	1098	215	5	5	60.846924	3
4	1	14	1	2	0	846	227	208	15	-1	
5	1	14	1	2	1	846	229	43	13	96.805458	ABN:
5	1	14	1	2	2	896	227	121	14	95.547562	28864970579
5	1	14	1	2	3	1023	227	31	13	71.954834	WC!
4	1	14	1	3	0	878	249	235	17	-1	
5	1	14	1	3	1	878	250	44	14	96.782700	Date:
5	1	14	1	3	2	929	249	108	17	92.719116	01/07/2025,
5	1	14	1	3	3	1043	249	70	14	93.797798	15:07:27
4	1	14	1	4	0	922	270	146	18	-1	
5	1	14	1	4	1	922	271	81	17	93.770340	Operator:
5	1	14	1	4	2	1021	270	47	14	96.434372	natalia
4	1	14	1	5	0	849	292	292	17	-1	
5	1	14	1	5	1	849	293	26	13	50.859482	Till
5	1	14	1	5	2	882	293	27	14	96.718430	No:
5	1	14	1	5	3	917	293	21	13	83.353050	02
5	1	14	1	5	4	945	292	66	17	96.320969	Receipt
5	1	14	1	5	5	1017	293	28	13	92.002731	No:
5	1	14	1	5	6	1053	292	88	16	92.002731	02/39440
2	1	15	0	0	0	1056	205	88	35	-1	
3	1	15	1	0	0	1056	205	88	35	-1	
4	1	15	1	1	0	1056	205	88	35	-1	
5	1	15	1	1	1	1056	205	88	35	95.000000	  
2	1	16	0	0	0	1010	274	8	10	-1	
3	1	16	1	0	0	1010	274	8	10	-1	
4	1	16	1	1	0	1010	274	8	10	-1	
5	1	16	1	1	1	1010	274	8	10	95.000000	 
2	1	17	0	0	0	788	315	416	10	-1	
3	1	17	1	0	0	788	315	416	10	-1	
4	1	17	1	1	0	788	315	416	10	-1	
5	1	17	1	1	1	788	315	416	10	95.000000	 
2	1	18	0	0	0	324	1134	397	7	-1	
3	1	18	1	0	0	324	1134	397	7	-1	
4	1	18	1	1	0	324	1134	397	7	-1	
5	1	18	1	1	1	324	1134	397	7	95.000000	 
2	1	19	0	0	0	789	333	326	26	-1	
